dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
pima,1,3,0.5,0.75,0.05,0.6854545787361123,-0.06906291675550037,0.001999228446227253,0.7239583333333334,0.6994949494949495,0.6954754330151998,0.6972780008924587
pima,2,1,0.5,0.75,0.05,0.6900783812858977,0.3181481418140422,2.8031556167299885e-48,0.796875,0.7719718309859155,0.741646852709298,0.752895752895753
pima,2,2,0.5,0.75,0.05,0.6965741656946134,0.15765221631491882,1.337289941445899e-12,0.796875,0.7700549450549451,0.7460267801276437,0.7554779087613885
pima,2,3,0.5,0.75,0.05,0.6828528431990246,-0.21400985755419513,3.7706427847290793e-22,0.7447916666666666,0.7041062801932367,0.6903391315229633,0.6958784548246323
pima,3,1,0.5,0.75,0.05,0.7011624136085397,-0.13241536605429183,2.7766590341688673e-09,0.7291666666666666,0.7108605680034251,0.6740897843761047,0.6819166560468969
pima,3,2,0.5,0.75,0.05,0.6845392971211863,0.1349287665955511,1.376978863067476e-09,0.7447916666666666,0.7354079809410363,0.6862849063273242,0.6958784548246323
pima,3,3,0.5,0.75,0.05,0.6752320652580874,-0.3016598596934553,2.376191445514531e-43,0.6822916666666666,0.6491758241758241,0.627960410038883,0.6319643025484712
pima,4,1,0.5,0.75,0.05,0.6813884354429405,-0.00823483501165764,0.7128366825349477,0.7291666666666666,0.7108605680034251,0.6740897843761047,0.6819166560468969
pima,4,2,0.5,0.75,0.05,0.6827789878904551,0.17597174735260854,2.2503390333973766e-15,0.7395833333333334,0.722569879015436,0.688582537999293,0.696969696969697
pima,4,3,0.5,0.75,0.05,0.6568107306153966,-0.09065127480272306,4.9099028695425964e-05,0.7395833333333334,0.7269258987527513,0.6822198656769176,0.6911991765311374
pima,1,1,0.75,0.25,0.01,0.6953529241982054,-0.13199825344165828,3.1154826735164666e-09,0.6927083333333334,0.6680555555555556,0.6710851891127607,0.669380964889239
pima,1,2,0.75,0.25,0.01,0.7189825957784282,0.09985274795036539,7.678990162152958e-06,0.71875,0.6932447397563677,0.6850477200424179,0.6883116883116883
pima,1,3,0.75,0.25,0.01,0.7256731819299878,-0.1785496374426698,8.644559882808898e-16,0.6927083333333334,0.6625064333504889,0.6488158359844468,0.6529305432151721
pima,2,1,0.75,0.25,0.01,0.7063309922752798,-0.01011563797055935,0.6511869828954177,0.7604166666666666,0.723291307232913,0.7105493680390439,0.7159032424086464
pima,2,2,0.75,0.25,0.01,0.7113865407851566,0.011483988181333095,0.6077586828945704,0.78125,0.7509386733416771,0.725816543611563,0.7352941176470589
pima,2,3,0.75,0.25,0.01,0.7309734271576377,-0.2862161242482015,5.1321050248691415e-39,0.7760416666666666,0.7427536231884058,0.7263796771367789,0.7331178277032488
pima,3,1,0.75,0.25,0.01,0.7077874577546766,0.18668345168311182,3.842059112909578e-17,0.71875,0.6948554364055926,0.6691410392364794,0.6756350894756601
pima,3,2,0.75,0.25,0.01,0.6981467716513288,0.2523959646732752,1.942020347139096e-30,0.7447916666666666,0.7266505636070854,0.699010250972075,0.7069432763293151
pima,3,3,0.75,0.25,0.01,0.7005964264108547,0.061318429770744025,0.006086018683826241,0.6875,0.6558725945587259,0.6383881230116649,0.6426799007444168
pima,4,1,0.75,0.25,0.01,0.6739687306226754,0.2509366550579867,4.275241709343729e-30,0.7291666666666666,0.7078865209719016,0.68045245669848,0.6876486046802652
pima,4,2,0.75,0.25,0.01,0.741879690331141,0.05074846837344918,0.023232831319689135,0.734375,0.713768115942029,0.6876988335100742,0.6949817774039809
pima,4,3,0.75,0.25,0.01,0.6938466524401187,0.01790532597448654,0.4235288579736305,0.734375,0.7127100840336134,0.690880169671262,0.6975444015444014
pima,1,1,0.75,0.25,0.05,0.6583352713666583,0.21512227855464514,2.2756243133544925e-22,0.7447916666666666,0.7229528535980149,0.7117355956168256,0.7161391545726097
pima,1,2,0.75,0.25,0.05,0.7077426404457137,0.1865678928652421,4.0198929192085996e-17,0.765625,0.7455503512880561,0.7470837751855779,0.7462927617090002
pima,1,3,0.75,0.25,0.05,0.7027789670841699,0.11570159833859832,2.1195897438101076e-07,0.734375,0.7169642857142857,0.7290562036055144,0.7203484221048122
pima,2,1,0.75,0.25,0.05,0.6871231845213343,0.551822370641579,9.103014927103171e-160,0.7916666666666666,0.7606237816764132,0.7509698410712051,0.7553205046514592
